,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,Ciudades
45,0.14576271910534283,0.05465409838505474,0.2297571088255948,0.004008135946613588,0.3313386086383119,0.4326786605707044,0.027293440714512424,0.4534180423354865,0.29868236546302346,0.016204750045054173,0.960953039993746,0.9345718646594598,0.9003148422855258,0.9609544028901646,0.9345707590013389,0.038392110981113156,0.9899170851128467,0.1331499368209823,0.00400813621966749,0.19274149695661968,0.45397362785771467,0.5246405047767864,0.2921643937285464,0.3423013798136719,0.3737430249849094,0.9999997814264531,0.5143831388098223,0.09776524354954275,0.16548093849472006,0.0420814298593381,0.4301662934269822,0.2545884472469315,0.05277232915667472,0.05532951714551233,0.050542092017722,0.04953971292927277,0.04005175646691368,0.047221285185720635,0.025365426695842453,0.010918123953981786,0.18725982511188938,0.11563924321338791,0.6761432849143967,0.45913242321478387,0.05308844339701449,0.20313506771516623,0.3491999629990862,0.24142061502111345,Móstoles
46,0.14576271910534283,0.05465409838505474,0.2297571088255948,0.004008135946613588,0.3313386086383119,0.4326786605707044,0.027293440714512424,0.4534180423354865,0.04596234203590656,0.07068875357848742,0.8567110333865116,0.7785778515734383,0.7811664529538465,0.8567128937621289,0.7785755731106979,0.4533678756476684,0.9976456818141206,0.3987369368768477,0.007174763990316629,0.4630760055429839,0.31864873990000664,0.3141701445892755,0.4181686612858334,0.4880195716307293,0.2896011542821828,0.5841965178009965,0.3525370920496025,0.43452800702731875,0.7509004200573646,0.40330275355196976,0.5729153652786878,0.22238486656907996,0.1282899144760178,0.13512975298904342,0.12232458774103543,0.1659891660390712,0.12469420840639271,0.10991858873888656,0.25227133479212255,0.22870076301674946,0.3566189110717693,0.09134757310379983,0.31277611528373245,0.3641245110237744,0.06130391830347022,0.04871399717055101,0.24931397139028308,0.5691420746142314,Murcia
47,0.19153506355680777,0.008001458814800097,0.07373086085416788,0.00033602007734475476,0.24127926145730297,0.25984829785235225,0.001921833422382585,0.31397563097153774,0.24203738483544704,0.35056679695462967,0.4752663016570202,0.35576092572361595,0.3691141673441223,0.47526588602495967,0.35576022126860396,0.11263580143740598,0.998845177891746,0.5754760427956618,0.00033601979970980457,0.8849918433931485,0.3783537530120755,0.3307553850109777,0.4503163558771687,0.4355338854415437,0.3297065708690976,0.99999975707195,0.4037181128526388,0.0,0.38544391759406565,0.09989276352219512,0.7292209381782366,0.3641481815110912,0.021040839899469154,0.01991654366879863,0.02202138854109081,0.022455314700049706,0.031790424656918365,0.023396845284947065,0.14891903719912475,0.0871473188988311,0.0,0.020741621678372544,0.17754799491972034,0.16755717032502995,0.0,0.04113316121713381,0.2655528144130135,0.8637961999314563,Ourense
48,0.16959023439498871,0.040929565478653035,0.25036371516986256,0.002215629216289476,0.3944279591163864,0.4443663619299542,0.016746448952792196,0.44595156373164274,0.2664521292771383,0.08819520150318633,0.8097973530527334,0.7156915911071846,0.6544892263595905,0.8097958542554429,0.7156907570330487,0.04198562594016381,0.9947552759957827,0.2288268989508893,0.0022156299638784113,0.5500798119595149,0.2558033050741626,0.23366200526138847,0.22544206327117555,0.2704702056871485,0.16626669218651102,0.9999996878753946,0.28293123521393415,0.23896678061919574,0.18685659229943363,0.0492405881595866,0.4209879622134066,0.5465600720639567,0.055683054973639456,0.05496638058273656,0.056308098517604516,0.052581408455248155,0.06922989445065945,0.06471518297454397,0.12399124726477026,0.11364205421504157,0.11308953674718387,0.011405136445681946,0.6338985585840162,0.3312462180601464,0.04061366140574266,0.08486303347252044,0.7895876913078433,0.211251189004134,Oviedo
49,0.08381733188611894,0.04491442833905053,0.20830043377023955,0.0030114434870335575,0.20013188262446427,0.34765428562481465,0.039880771367659947,0.28709939917943467,0.4303412840988444,0.07217066836838698,0.8470491836504248,0.7652956186674977,0.7267772386068716,0.8470502992009485,0.7652937160290568,0.021719872973424707,0.9883088222154717,0.11681323244028928,0.003011443899910829,0.42652914452104085,0.21481594538718785,0.21522242221650778,0.33711476018183506,0.4532758153989537,0.21093623474330414,0.9999997184321778,0.3004859980361205,0.26889887887487884,0.10207499228832928,0.019482286368634444,0.4186718823361014,0.4345231392861164,0.012703994858253322,0.012747525074644737,0.012666030224567193,0.01125941519194339,0.01691804388588717,0.01489543820033917,0.07956236323851204,0.03822990656668819,0.38237700099606564,0.04401237458595396,0.5402054979994622,0.6797156356043744,0.005229618997750072,0.020471956202282596,0.2986557142596653,0.26107361178143074,Palencia
50,0.6419610112017289,0.037287429108752004,0.14271410475668883,0.004374041833112922,0.3169634025717112,0.3241881618721138,0.01674415128515938,0.34942606793557024,0.07512480852837158,0.04044717428747846,0.9123861033820817,0.858812555954771,0.8925681017552385,0.9123855512036443,0.8588120959623401,0.2646080561591175,0.9978288450885437,0.41836601056781336,0.004374041545491359,0.2839200827939443,0.25516967064885154,0.2822754514706167,0.24031542814732354,0.3361646867751009,0.21036203825032196,0.9999996714739898,0.345655227275552,0.7921271593170629,0.5031319920509199,0.2641258113412324,0.5565155918458713,0.3597567841459295,0.11712844362117211,0.1232367051669517,0.11180115762839425,0.16701045790775304,0.10791765511733141,0.11175441535424187,0.11065207877461708,0.09892861378701422,0.30609174863837596,0.07398437517520665,0.3913888371432341,0.1809778909963863,0.4808926511016073,0.14945613352117068,0.5085904882335269,0.483705877604279,Palma de Mallorca
51,0.0858742866870308,0.29011114508612584,0.18596009044999884,0.0297492187163543,0.18102538740520938,0.29288330327719375,0.10705298051576592,0.3859386604379886,0.4242490370103395,0.0356859026060547,0.9211967143341084,0.8721332423595856,0.8942219316845319,0.9211994385865354,0.8721329087841093,0.02592344977436069,0.903841514626258,0.014491850619261839,0.029749218740357748,0.42019681102983775,0.4708551289700429,0.6050349110904527,0.46000927729845065,0.5905513429798083,0.5578834233889367,0.9999993858173172,0.6720694069829589,0.12388696999765292,0.08632213542580836,0.017447423551398167,0.385445727157091,0.0,0.029480762409466153,0.03204257157955294,0.02724649493324736,0.019181736518796105,0.01856237619572778,0.023325707003602043,0.006582056892778994,0.009685963918137133,0.9513832976811499,0.06106613485579965,0.49908008452973324,0.5746099454512011,0.03372188940607469,0.4017608385400953,0.44623740292051706,0.19665217446777872,Parla
52,0.07903431992613509,0.08765414146220048,0.14776411769251707,0.0026958045041761964,0.44155951203428945,0.3947886982774977,0.017993138075815478,0.5132118541401998,0.4451736478724123,0.09169968181375021,0.8041542768958161,0.708391342244028,0.6662196856046956,0.8041538516105169,0.7083896312121593,0.030411164967407655,0.9889186218973931,0.12252384188758546,0.0026958042063207678,0.8397972249995611,0.45074995490557956,0.358461736258084,0.2961016791910197,0.268592535232019,0.2954609031080224,0.9999996417425537,0.4249644720105734,0.35448154378020036,0.20349742676183818,0.03243405663443547,0.6038848345036192,0.36527418083549157,0.014255007594384098,0.014354306747571932,0.014168404395764066,0.015172687046127512,0.013584419637308028,0.013560639265424577,0.026713347921225386,0.03657604470039403,0.19301528619153435,0.007103798284039026,0.3212829109115112,0.39481258136687103,0.1519271761225844,0.06631776233791313,0.3433887940337148,0.5743761832953044,Pontevedra
53,0.19568392072965313,0.01929497656349166,0.006115118791222451,0.0006305848903896357,0.08095944609297726,0.09888880548489248,0.005097690443943877,0.16543207948734823,0.237881324195256,0.034373568974329416,0.9138482652390563,0.8610093353263422,0.8180228351450032,0.9138473543137129,0.8610079695243095,0.18167307370884173,0.9983470631332536,0.4860680977321873,0.0006305845969954023,0.7716062376116053,1.0,1.0,0.7802616198163096,0.9298135007246849,1.0,0.6644707960039178,1.0,1.0,0.4052370924333771,0.13141014544628837,0.9361679093156073,0.4185339488796307,0.05465531197608603,0.05733457762922585,0.05231860548800768,0.055755176276186355,0.049068806745002205,0.05230423012698566,0.02140919037199125,0.05830686715074523,0.5192082233260221,0.021544793383023637,0.5280738645280987,0.3906456002930614,0.15341576101809307,0.10290167337677324,0.5139756075560756,0.3485146160332996,Sabadell
54,0.14642670709101802,0.037110356024139174,0.1767235731109491,0.0033912677077542032,0.1826409495548961,0.26113704310216207,0.028469936843864292,0.23717283067956446,0.29768664260131106,0.058331782286154876,0.8631474409272135,0.7875246989781228,0.7659942395315638,0.8631478675915465,0.7875230915275365,0.04989971586160789,0.9913511195296723,0.1520528892977187,0.0033912675332060174,0.4957813678541996,0.26782385887990046,0.260918369365271,0.39835977363391784,0.48668327331412253,0.2462861265293519,0.999999718386175,0.3049233714093944,0.41769536980040034,0.17562747339606266,0.04348193309234067,0.4402960198546527,0.38081297151221705,0.032919608669421466,0.031480946393754566,0.034174329891172944,0.0255116289151622,0.04857557316915135,0.039294338846167676,0.25745295404814006,0.07655864949988798,0.229677001704104,0.08490943045280289,0.8576434748340931,0.4442450008906831,0.1581222620798448,0.06477728165367933,0.548114703605436,0.08088662275651481,Salamanca
