Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
0,Albacete,0.5665593199190745,-0.1883167142455066,0.5841824309844335,-0.1734152928028831,0.7851816629563187,0.6418772764445891,-0.2963106666752936,0.6163264652516622,-0.3122689849434441,0.0701255048656859,-0.0300344908278845,-0.0303167483230868,-0.1476567145832857,-0.0300277309166322,-0.0303212835697142,0.1609139098336278,0.5111912272795688,0.7375343047896354,-0.2054075770075332,-0.1872559116540404,-0.6589913549432241,-0.8528774191017039,-0.9510669228969368,-0.692492781520693,-0.9625588455277616,-0.4338435996285549,-0.957006845819475,-0.2619142737087936,0.1760802499541434,0.3364029639985709,-0.3209715753609383,-0.2562286913191712,0.0754512988070297,0.1213174321774055,0.0577198408822436,0.1285525399149807,0.1023885264463255,0.005038322270775,0.0650531157595006,0.5417460391209404,-0.7494826839291815,0.0722526439882451,-0.7739050669035351,0.4568842321537745,-0.0962130759087826,0.1154195314534137,-0.4865420748176976,0.5999600018284246
1,Alcalá de Henares,0.5766378682850412,-0.4287865385388602,0.973630890919363,0.4446535856031304,-0.2233989668662329,0.2608555250289892,0.9126885858987408,-0.0703133564828786,-0.3162626840037349,0.4269217811545207,-0.211869321476901,-0.2100503230935725,0.1943529927676577,-0.2118677640334895,-0.2100481625479484,0.0247371459561589,0.220369535826968,0.2086027266472141,0.2014085336573488,-0.6608408365538587,1.1197414747838743,1.9409116322867317,0.1812407222011255,0.3563613991057608,1.6995908310968673,1.0230886118693194,1.8076131144078955,0.1870059575793773,-0.1762615033313068,0.0777072997699789,-0.8919099817926004,0.1182795698924731,0.2771468580050584,0.3121840920988382,0.264405958985019,0.116792015582126,0.0361013332922536,0.1951039488251937,-0.5063337348957763,-0.3208660502718022,0.6570287401952829,0.8472179965912425,0.3111696539404619,1.4849492780813218,0.0835734197678096,2.5940892448491715,-0.7621806262915082,-0.6999463681485579
2,Alcobendas,0.3464118129776527,-0.2116938402155118,3.9538564943793952,0.1653332453378417,4.083947521991917,2.871048083746976,0.3122770945163058,3.580668856799246,-0.3162626840037349,0.4269217811545207,-0.211869321476901,-0.2100503230935725,0.1943529927676577,-0.2118677640334895,-0.2100481625479484,-0.4683962841797729,0.2353913174102623,0.2270022252249692,0.0175585145324383,-0.5438619747320852,-0.4095905582095011,-1.2577072850150537,-1.6600882997127009,-1.643492403844982,-1.6091337058384023,-122.51516729042956,-1.1801911197930413,1.2337456009851508,-0.5259157493505952,-0.2178411622272523,-1.2873952499014247,2.972200367164962,-0.4101516450832039,-0.3829914526154644,-0.3974103710382308,1.515953196752776,-0.545556077609779,-0.5058325800809769,-0.6069433796955427,-0.7190447428332482,-0.3264036569021633,0.7324876473101906,-0.1613154015581067,-0.7916204004232508,-0.489942507316056,7.91117515951511,-0.7475639282390166,0.9428245079877208
3,Alcorcón,-0.2572291492785771,-0.004351956093442,1.4560677200023375,-0.1550393348634264,0.4985843041476647,1.2517138460806996,0.1879661911958527,0.918148414124754,0.3578007754604781,0.0032721879513779,0.0225055195498883,0.0228378813889827,-0.0758316196525694,0.0225141214017688,0.0228426594488026,-0.4620283060128409,-0.0860748084722761,-0.0600678170803512,-0.1933125450045081,-0.5034822420948584,-0.3780187447311454,0.2070643164719627,-0.7839342086588958,-0.5944676599943959,-0.1936732808306711,0.005670146607763,0.3045949703465121,-0.7111988712814826,-0.4954063195890668,-0.4096402943126591,-0.85025235781321,0.2646210333071073,0.0585000488477361,0.0816378601185108,0.0627788839216766,-0.1633905341427698,-0.0884625160788421,0.0710606684602095,-0.4993246449822947,-0.5355201412442503,1.1118437423339484,0.0721097537522966,2.405158864764464,0.1702778537795426,-0.5721674355078242,-0.2700633604243715,0.2084200131440398,-0.7528941528653037
4,Algeciras,0.0209155769457627,-0.6329052913031239,-0.4515088936079022,-0.3087638140148896,-0.7864784835844121,-0.7675238039038368,-0.1719978439409379,-1.045131759016436,0.0162412152846932,3.8324136355363474,-2.676020226479597,-2.1662831511059677,-1.7334166088057197,-2.6759755896714514,-2.1662663986044075,0.37182694494498,0.3252215712783871,0.3516147606142982,-0.2944947979014193,0.3074977821737749,0.0061986544787273,-0.1294568853053978,1.39181367303023,1.0649053983260437,0.6870517840644083,-0.0056701466077599,-0.2141386410432385,-0.0055953916651617,0.2302319652595409,0.1325242697272747,0.3647492506884515,-1.2339365329137162,-0.3696753253801982,-0.3095270564532093,-0.3892958663611205,-0.2679955073432191,-0.3468331420560891,-0.4290061882578209,-0.0032855108969444,-0.2383496724434326,0.1483702827425179,-0.7769816781861301,-0.564444146525477,-0.6504287554887851,0.1429546721023161,-0.2507492266656481,-1.0836090422820186,1.813351473067985
5,Alicante/Alacant,1.6125531630355658,-0.8248854087089378,0.9134115217518362,-0.250523555276903,0.3842047247498216,0.761681238687542,-0.3340162525443457,0.146199356263619,-0.5655067523001274,0.3400248608836067,-0.2845340685950345,-0.2801038815118756,-0.2009840237335096,-0.2845289972803212,-0.2800989848576118,0.5838596245691993,0.7524410395073016,1.915782683817892,-0.2561607751844241,-0.673566570475897,-0.6278162553515114,-0.504624861450326,-0.696416995585015,-0.4527052545656124,-0.5585815478023798,-0.1127135098629594,-0.3163859704697047,-0.2134976739651571,0.5683532695102976,0.9728087454010238,-0.5280100016723774,-0.7036454235510097,1.4922180128740925,1.4968348722731293,1.476505921000455,1.3874063437451127,1.6938357377781543,1.4952906127819348,3.5022816047895446,1.4794405984295869,0.1522229912927638,-0.6007616442202297,-0.8276850209194953,-0.4060367105746391,2.3235257045459097,-0.1292446040570838,0.364993473477548,0.8285057173310899
6,Almería,0.1796898985244003,-0.3300133689839571,-0.7672173625046272,-0.0942330182450385,-0.9396762271165192,-0.9991595037439792,-0.1034664707956374,-1.1099956517615297,-0.1094335620743438,-0.0070516618455134,0.0528655875141143,0.0538016946580776,0.0788348521140565,0.0528534356513655,0.0538001997428884,1.0106541173177517,0.2858645035301206,0.2936959054045265,-0.1532893942383848,-0.5574850360460513,0.2704431624708647,0.578347997528176,1.5824827485682946,1.3887318624285765,1.060583395661939,0.4606607198131538,0.5394294563820964,-0.0084419692227584,0.6845159861122839,0.4967596554214038,0.9670594065097182,-0.936008392341988,0.3097988558774682,0.3556468606068071,0.2859444590538921,0.3238409372023259,0.3556755424442921,0.1376392625436574,1.1029825137808928,0.8334340008363147,0.202351722618482,-0.0051677998065189,0.6538003910233631,-1.0570767999689403,0.505477290451373,0.6241046600232095,0.3546601671530466,0.6143684121871021
7,Ávila,0.1796898985244003,-0.3300133689839571,-0.7672173625046272,-0.0942330182450385,-0.9396762271165192,-0.9991595037439792,-0.1034664707956374,-1.1099956517615297,0.4616679901399087,-0.39084639304205,0.4879180359559238,0.5200295442831939,0.3143626934742815,0.4878949875144098,0.5200303525748832,-0.3075873410192264,-1.588252966801875,-0.480869648215685,0.6872156846631271,-0.2645076425781885,-0.1493793080648662,-0.2099284936585948,0.12723290487643,0.0318039497569469,-0.0842975933829058,-0.0174606747896533,-0.2759094028826366,-0.1270919403975184,-0.3468968530331884,-0.3406044126495307,-0.3551503422114466,0.1004458431681091,-0.9316109983391768,-0.8892359262892562,-0.919643863405838,-0.8195459004506874,-0.6487995748253472,-0.85522043997069,-0.1776366224947979,-0.0986851275379826,-0.7138253834872339,0.1257824146157372,1.0322404738196929,-0.4778074307040254,1.4600147387743196,-0.4496592245516473,-0.2144753198757882,0.3888156115471426
8,Badajoz,1.4261488199523065,-0.4059160266977602,0.6071129381051646,0.1796545116059838,-0.4289018090647761,0.2276498288657912,-0.0604103638815588,-0.5519602179292777,-0.536046755248843,7.441230342669717,-4.383244986620815,-3.179085255822644,-2.732708988767782,-4.3831851828771535,-3.1790723689871783,0.6591557180595161,0.5941114616193788,1.0072757234328709,0.0269847738466251,-1.3397097961639353,0.1229317156222612,0.0804912260051629,0.3689639167942065,0.4727951657509044,0.1341898015750632,0.2996735796493817,0.2877004030058253,-0.4714766284082067,0.355440740821166,0.8108087038191107,-0.5723372608866312,-0.6517178075006557,-0.1273384496814042,-0.0906119540209659,-0.1310843132098626,0.0304875101298036,-0.0698842323363809,-0.1379387806404338,0.0640309568137845,0.1243321098359894,0.3015864624800061,-0.8120458827625027,-0.8269414808993026,-1.107565777924285,-0.7469494044651626,-0.151101167831381,-1.0962043522969642,2.255849387663944
9,Badalona,-0.3638135612293948,0.3895380161634031,-0.7903426912661461,-0.5505762061296996,-0.6998508656277692,-0.7599464254532917,-0.7828471081258789,-0.6407513296207016,0.5621118494396147,-0.3642971379004553,0.4669386592326541,0.4965345659335349,0.2759319488786048,0.4669387827774532,0.496530575525497,0.2346704921187523,0.1813129037104094,0.16427099319197,-0.4536570535318349,0.2239647595060591,2.5490354893631144,3.3307830385781045,1.1476431034548895,1.3792412373143594,2.818953759514328,2.352435489771222,3.8268658817732217,0.9853872235969928,0.3677232684739983,-0.0030852147949017,1.5455747864860745,-0.2520325203252032,0.4994930690489888,0.5577751285626933,0.458870230537085,0.1429745368724853,0.250953176871115,0.4075264618889964,-0.3684882999306392,-0.034381824095154,0.2635430929105209,0.3622908550064821,-0.1471931644574878,0.0768212584950434,-0.7354680298495394,-0.0463153633033171,0.906269257201021,-0.2127179265119935
