Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Barcelona,0.001776163,4.67E-07,2.55E-08,1.66E-06,9.77E-09,2.48E-06,1.68E-05,2.01E-06,7.22E-08,3.32E-07,2.91E-07,5.20E-07,3.05E-07,3.33E-07,2.50E-07,0.027847316,4.00E-07,0.000429499,0.016556777,4.22E-07,5.18E-07,5.00E-07,1.26E-07,1.16E-07,4.33E-07,2.29E-07,2.28E-07,6.82E-06,0.006706096,0.666278505,0.31657099,0.349707514,0.387814557,0.324903766,0.273880181,0.015521711,0.035335723,0.000165751,7.00E-07,1.86E-06,7.32E-06,5.81E-06,8.38E-07,1.09E-06,1.80E-05,4.37E-06
Burgos,0.006319066,7.57E-06,6.76E-07,2.04E-05,1.10E-07,3.21E-05,0.000214467,2.03E-05,1.68E-06,3.76E-06,2.43E-06,4.02E-06,2.43E-06,2.78E-06,1.93E-06,0.034022779,3.63E-06,0.00112626,0.204160814,3.79E-06,4.57E-06,4.45E-06,1.04E-06,9.15E-07,3.89E-06,2.00E-06,1.94E-06,2.96E-05,0.052475133,0.641949802,0.305640998,0.336308804,0.39138204,0.335279023,0.258631342,0.025082248,0.05133255,0.000236522,2.88E-06,3.01E-05,5.24E-05,0.000190354,1.12E-06,4.97E-07,5.40E-05,3.26E-05
Cáceres,0.004585826,4.93E-05,4.02E-07,7.12E-05,7.85E-08,2.88E-05,0.000357137,1.99E-05,3.64E-06,3.09E-06,3.53E-06,6.79E-06,3.51E-06,4.04E-06,3.26E-06,0.052115806,4.50E-06,0.000294124,0.711962781,4.72E-06,5.73E-06,5.58E-06,1.55E-06,1.59E-06,4.90E-06,2.48E-06,2.43E-06,4.11E-05,0.058517836,0.439534473,0.210527218,0.229007255,0.337261826,0.229737872,0.169174309,0.027347898,0.03313347,8.22E-05,1.98E-06,2.56E-05,9.23E-05,0.000125412,6.41E-06,1.85E-06,7.33E-05,0.000129762
Cádiz,0.001965027,2.44E-05,3.93E-07,7.67E-06,1.26E-07,3.59E-05,0.000148857,2.64E-05,1.31E-05,4.80E-06,4.04E-06,7.07E-06,4.03E-06,4.62E-06,3.40E-06,0.028310264,5.64E-06,0.00145115,0.076701504,6.04E-06,7.04E-06,6.79E-06,1.68E-06,1.63E-06,6.04E-06,2.87E-06,2.76E-06,5.87E-05,0.073619147,0.653883258,0.309158501,0.344724757,0.400308714,0.33535031,0.266030381,0.030281446,0.038936525,9.63E-05,5.92E-06,5.65E-05,9.85E-05,0.000128738,9.09E-06,7.25E-06,0.00024952,1.09E-05
Cartagena,0.006973137,1.42E-05,1.70E-07,3.34E-05,4.37E-08,1.54E-05,0.000154557,1.10E-05,8.66E-07,2.17E-06,2.02E-06,3.64E-06,2.01E-06,2.31E-06,1.75E-06,0.112788645,2.73E-06,0.000572862,0.334432832,2.83E-06,3.41E-06,3.30E-06,9.67E-07,9.39E-07,2.95E-06,1.45E-06,1.40E-06,3.31E-05,0.030474804,0.593747648,0.295291288,0.29845636,0.439574044,0.318100684,0.210452533,0.077840979,0.029722,8.24E-05,4.03E-06,1.21E-05,3.93E-05,5.73E-05,3.32E-06,3.80E-07,4.38E-05,0.0001145
Castelló de la Plana,0.003735393,2.36E-05,2.54E-07,2.63E-05,5.59E-08,2.15E-05,0.000177983,1.48E-05,2.63E-06,2.21E-06,2.79E-06,5.58E-06,2.82E-06,3.19E-06,2.68E-06,0.051526859,3.48E-06,0.000497354,0.263279446,3.49E-06,4.56E-06,4.35E-06,1.29E-06,1.24E-06,3.79E-06,2.04E-06,1.98E-06,5.21E-05,0.044817395,0.610876695,0.295577469,0.315299226,0.450322803,0.318962439,0.241586267,0.02931622,0.048010876,4.91E-05,5.13E-06,4.25E-05,5.12E-05,8.32E-05,2.93E-06,5.52E-07,8.51E-05,8.00E-05
Ceuta,0.00266203,2.57E-05,3.91E-07,1.73E-05,6.86E-08,3.53E-05,0.000284952,2.32E-05,1.74E-05,4.72E-06,6.10E-06,1.23E-05,6.25E-06,6.97E-06,5.92E-06,0.051891274,7.56E-06,0.001170592,0.173129857,8.34E-06,9.61E-06,9.17E-06,3.61E-06,3.48E-06,8.24E-06,3.72E-06,3.78E-06,7.74E-05,0.094083387,0.641042999,0.323878902,0.317164098,0.514565631,0.202997204,0.189598048,0.003144234,0.010163564,9.90E-05,6.69E-06,0.000151983,9.18E-05,0.000142718,1.56E-05,4.55E-06,0.000139967,0.000208054
Ciudad Real,0.004646724,5.80E-05,6.45E-07,3.45E-05,1.87E-07,5.44E-05,0.000320006,4.05E-05,1.12E-05,5.76E-06,6.10E-06,1.14E-05,6.01E-06,6.97E-06,5.48E-06,0.058110626,8.01E-06,0.001085834,0.345291532,8.30E-06,1.04E-05,1.01E-05,2.41E-06,2.44E-06,8.73E-06,4.63E-06,4.59E-06,9.32E-05,0.109572661,0.609217537,0.288640853,0.320576684,0.392775224,0.306755037,0.239494529,0.024770844,0.042384771,0.000104893,4.96E-06,2.64E-05,0.000250496,9.16E-05,5.86E-06,1.12E-05,0.000210306,0.000205979
Córdoba,0.007766599,2.48E-06,2.25E-07,5.45E-06,5.54E-08,1.65E-05,6.99E-05,1.08E-05,4.10E-07,2.16E-06,1.30E-06,2.10E-06,1.29E-06,1.48E-06,1.01E-06,0.068932136,1.99E-06,0.00284415,0.054480303,2.05E-06,2.56E-06,2.42E-06,5.73E-07,5.37E-07,2.13E-06,1.04E-06,9.98E-07,1.72E-05,0.023524032,0.650475083,0.312276481,0.338198603,0.450264447,0.304792922,0.243047077,0.026494711,0.035143399,0.000107735,1.09E-06,7.23E-06,1.80E-05,4.00E-05,1.98E-06,5.99E-07,2.42E-05,0.000106373
"Coruña, A",0.002152989,4.43E-06,1.48E-07,5.74E-06,3.55E-08,1.23E-05,6.61E-05,8.55E-06,1.32E-06,1.22E-06,1.49E-06,2.92E-06,1.50E-06,1.70E-06,1.41E-06,0.027358621,1.88E-06,0.000707797,0.057381186,2.01E-06,2.38E-06,2.28E-06,6.17E-07,6.09E-07,2.03E-06,-0.697105994,1.02E-06,1.77E-05,0.027524625,0.46708294,0.216514723,0.250568217,0.273373041,0.255514387,0.199174832,0.019890319,0.036375666,7.55E-05,1.97E-06,1.27E-05,4.50E-05,4.19E-05,1.65E-06,1.53E-06,4.83E-05,3.55E-05
