Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Barcelona,3.41680461,-1.074743677,-0.442118491,0.279196548,0.170142866,-0.408563239,0.071324523,0.048614045,-0.723566963,0.894569717,-0.604779879,-0.577733693,0.066875077,-0.604783249,-0.577731536,4.063644793,0.78819288,2.262360348,0.092503925,0.476154544,1.149726433,1.178255795,0.013033989,-0.117999293,0.666901316,0.906280778,1.499146472,1.686637915,1.957776029,13.01333652,12.53537509,13.15366217,9.723525314,11.32131496,13.29290196,4.971562078,7.341727454,13.48275862,0.89889153,-0.31802059,0.163608021,-0.651086407,1.917836565,4.115101605,2.302019049,-0.617599819
Burgos,0.698734537,-0.614677235,1.933692455,0.855293139,0.662156613,0.860240738,1.120420313,0.498501931,-0.360993924,2.459070544,-1.787866147,-1.545562276,-1.185632323,-1.787856262,-1.545551027,-0.149367576,0.097491362,0.080577307,0.47169375,0.01313361,-0.123791262,0.172968837,-0.421989774,-0.586000414,-0.293105724,0.267791316,0.177146578,-0.737061797,0.736165749,0.093531474,0.099867588,0.112835026,-0.070432347,0.239337898,0.178245359,0.316942285,0.45123821,1.448275862,-0.311441272,0.318157504,-0.417386227,2.303948695,-0.66207439,-0.653838334,-0.678522365,-0.72141441
Cáceres,-0.038539132,3.768072253,0.029564184,4.752931602,-0.454405948,-0.360100937,2.313657772,-0.485934331,0.073459231,-0.291844314,0.351684353,0.369333636,0.14652718,0.351688559,0.369331383,-0.005003411,-3.596064293,-0.620054182,3.037139849,-0.318592012,-0.18561251,0.125611826,0.406907477,0.5974647,0.081745787,0.126670794,0.196540133,-0.499240904,-0.106215578,-0.602607384,-0.566872396,-0.592959916,-0.4537299,-0.405032774,-0.54975477,0.184937758,-0.185383079,-0.172413793,-0.762771879,-0.14895606,0.450957296,0.361246205,0.922284615,-0.159218108,-0.559593566,0.307908984
Cádiz,-0.700340597,0.507942986,-0.332472871,-0.806941438,-0.009250654,-0.340972618,-0.901719631,-0.245463194,2.02562408,1.029283178,-0.882069857,-0.821897882,-0.614048085,-0.882074611,-0.821897662,-0.453910883,-0.104401382,-0.071846535,-0.622397904,0.993667724,-0.575714498,-0.752121159,-0.267146907,-0.142365468,-0.621232786,-0.904592397,-1.435017511,-0.128127852,-0.010752688,-0.436012722,-0.417726475,-0.414173669,-0.489966874,-0.268037187,-0.337567592,0.091045158,-0.220879989,-0.206896552,0.010319245,0.621592053,0.029326388,-0.009072314,1.212568049,1.457801317,2.201798012,-1.093029991
Cartagena,1.505613462,0.943071248,-0.480245086,3.417751665,-0.563252426,-0.697471428,0.954210833,-0.771198484,-0.549131034,0.585814581,-0.446183117,-0.432535328,-0.315106857,-0.446160626,-0.432529407,2.069068071,-0.372690401,-0.208155191,2.158317323,-0.450907014,-0.576838521,-0.651757251,0.593479937,0.51385217,-0.081217827,-0.332090497,-0.661387114,0.33120977,-1.009965906,0.438201101,0.513080622,0.383435391,0.525953623,0.603509231,0.296405248,3.44752309,0.145611671,0.24137931,0.543040152,-0.362094939,-0.434864361,-0.154281552,0.638491131,-0.65073542,-0.569180398,1.008759054
Castelló de la Plana,0.02320266,1.724889429,-0.272389877,1.597218535,-0.562128515,-0.446211196,0.614819015,-0.59779369,0.014166768,-0.658158978,0.811989378,0.897875345,0.620692405,0.811977263,0.897872973,0.22494358,-1.049271444,-0.39860952,0.960032737,-1.887079505,1.359852555,0.869513188,0.818640369,0.658733446,0.715561617,1.226369699,1.346673002,1.093337952,-0.12195122,0.074826048,0.105568777,0.07146107,0.167337248,0.221622288,0.132055389,0.531595663,0.413046508,-0.310344828,0.536746211,1.000296136,-0.386398031,0.069101601,0.100390013,-0.615569682,0.250385698,0.011814814
Ceuta,-0.697573428,0.033407885,-0.685294863,-0.447681229,-1.160395098,-1.166609527,-0.211405578,-1.573095777,2.002180498,-0.729573996,0.914281645,1.023290576,0.859396231,0.91426562,1.023288561,-0.326691276,-0.88583446,-0.364651066,-0.38593103,2.211912021,0.078235284,-0.541584518,2.474501636,1.912153848,0.847639579,-1.431254749,-1.094943949,-0.182263477,-0.345921846,-0.707276142,-0.629550284,-0.734729997,-0.525032344,-0.769311941,-0.809565324,-0.629284854,-0.735585188,-0.344827586,-0.200961792,2.382325582,-0.768604129,-0.320374681,1.852201208,0.196989575,-0.329212414,0.250352257
Ciudad Real,-0.469806988,1.950723232,-0.126877594,0.33542059,0.062766118,-0.151697446,-0.073243441,0.05084688,0.839782571,-0.004813408,-0.005310977,-0.005372144,-0.166327253,-0.005314721,-0.005371676,-0.299679852,-1.164338291,-0.419492316,0.129510791,-0.5158001,0.832520621,1.561623949,-0.220227615,0.035568524,0.812706234,0.953808706,1.463597487,0.19245838,0.295043273,-0.782809939,-0.748659385,-0.766937568,-0.740111179,-0.594404948,-0.707344077,-0.241302523,-0.371509548,-0.344827586,-0.534200094,-0.560515531,2.068962418,-0.898460637,-0.057014932,1.660788994,0.428087182,0.155202916
Córdoba,2.869622932,-1.03491667,0.510325547,-0.269357584,0.460284868,0.584676227,-0.360118548,0.352898764,-0.691006935,2.847922645,-2.1431115,-1.803129236,-1.476959161,-2.143096871,-1.803120266,1.61414251,0.857593511,3.270868999,-0.268557459,-0.537825409,0.832520621,-0.17846178,-0.400417333,-0.369726246,-0.361388534,-0.442566902,-0.945673407,-0.599959043,-0.643325466,1.39284652,1.376089319,1.400019201,1.273145002,1.173366505,1.263934277,1.249589311,0.777215072,1.068965517,-0.622843733,-0.499103855,-1.220116395,-0.219392104,0.331182233,-0.352231747,-0.944336955,1.624213851
"Coruña, A",0.099439478,-0.4813372,-0.151580978,-0.147873039,-0.313657683,-0.247633004,-0.360118548,-0.353003056,-0.050253615,-0.531167106,0.636360862,0.689580624,0.48284935,0.636351092,0.689577124,0.211227935,0.26753793,0.268364842,-0.18859573,1.0924961,-0.020579533,-0.280120452,0.212218502,0.281033369,0.104536055,-10398778.79,0.417823769,-0.400381904,0.825334382,0.711713687,0.641498146,0.78745758,0.354481994,0.906523196,0.916514679,0.850071186,0.932212052,0.586206897,0.005426856,0.050433287,0.996984386,-0.051065125,0.158914977,0.590213034,0.385175746,-0.19839188
