Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Barcelona,3.418591267,-0.479654843,-0.669806899,-0.126996392,0.045264912,-0.601866851,-0.141852407,0.009605003,-1.15422774,0.166790096,-0.264809635,-0.409309371,0.320047772,-0.264817464,-0.409311307,2.783013549,0.193944861,2.182681769,-0.132254151,0.389625113,0.730372897,0.657161655,-0.094290858,-0.260478189,0.403824143,0.199742813,0.810376872,2.160798468,2.451656438,3.266514583,3.312488156,3.225479083,3.061859358,3.423462639,3.394699633,3.108649747,3.436554695,4.75646499,1.04923296,-0.375938941,0.054092267,-0.93057999,1.306437434,2.640618659,2.666287866,-0.952446005
Burgos,0.458495065,-0.364710122,1.638579505,-0.112907145,0.585705719,1.176348294,0.041400461,0.534681134,-0.672786746,0.992127788,-1.269352718,-1.425922538,-1.179055194,-1.269362707,-1.425920485,-0.484715918,0.14993584,-0.257765507,-0.118158466,-0.133610189,-0.380778757,-0.091669722,-0.626737366,-0.869635476,-0.50555901,0.199742348,-0.098998929,-1.188301509,0.957714628,-0.199411641,-0.204638344,-0.194777047,-0.255695646,-0.162653285,-0.17790077,-0.113047858,-0.04724616,0.277191585,-0.608247374,0.018895252,-0.654238894,2.813492726,-0.748654571,-0.773915453,-0.906981817,-1.088379695
Cáceres,-0.344427938,0.730292409,-0.211510385,-0.01758495,-0.640755892,-0.533947456,0.249831558,-0.614280641,-0.095900061,-0.459091464,0.54731164,0.585496046,0.415381903,0.547321089,0.58549492,-0.372743061,-0.08540427,-1.041461308,-0.02279272,-0.50847565,-0.434718158,-0.126945636,0.387789849,0.670780489,-0.150474479,0.199742246,-0.085658512,-0.859677486,-0.072457354,-0.386161047,-0.39321198,-0.379887965,-0.385531893,-0.371170946,-0.376217328,-0.204414862,-0.369119065,-0.326034346,-1.226318374,-0.271011629,0.404420083,0.352060243,0.513405857,-0.419770159,-0.764402127,0.259405099
Cádiz,-1.065158439,-0.084230485,-0.563272977,-0.153559415,-0.151785638,-0.507139322,-0.311820806,-0.333620374,2.49627333,0.237856915,-0.500252929,-0.665780955,-0.49493658,-0.500265078,-0.665786328,-0.72092817,0.137071959,-0.428260164,-0.158829313,0.9744392,-0.77508443,-0.780762931,-0.437217733,-0.292193568,-0.816383004,0.199741495,-1.207972549,-0.346868615,0.044286918,-0.341469598,-0.351029136,-0.332997169,-0.39780662,-0.32683932,-0.318414824,-0.269402676,-0.387066145,-0.338868941,-0.167615072,0.207217259,-0.109619964,-0.11713874,0.74463832,0.738006633,2.546136274,-1.574969074
Cartagena,1.337221211,0.024483588,-0.706851477,-0.050238641,-0.76031572,-1.006768575,0.012367494,-0.947220029,-0.922603769,0.003909229,-0.130147197,-0.256792105,-0.137139347,-0.130131269,-0.256789253,1.235964417,0.119977545,-0.580729077,-0.055461333,-0.657997789,-0.776065147,-0.706002543,0.616144857,0.561949166,-0.304844561,0.199741912,-0.675808542,0.287850121,-1.177679225,-0.106948984,-0.08776957,-0.123805893,-0.05367892,-0.044807831,-0.145712503,2.053785338,-0.201769585,-0.172019215,0.561915208,-0.403293011,-0.675547722,-0.301120968,0.287343125,-0.771693783,-0.775895453,1.177090515
Castelló de la Plana,-0.277188449,0.219815968,-0.504895114,-0.094762323,-0.759081186,-0.654630059,-0.046916439,-0.744834676,-0.174631294,-0.652337319,0.938150619,1.140679547,0.9829015,0.938151429,1.140681333,-0.194389784,0.07686823,-0.793762976,-0.100005361,-2.280939846,0.913709171,0.4271814,0.89172954,0.75052881,0.449918449,0.199743046,0.705493593,1.340968816,-0.091700915,-0.204429644,-0.20302588,-0.205628316,-0.175154792,-0.168386038,-0.19048351,0.035524594,-0.066555715,-0.377372724,0.553296022,0.442254149,-0.616458994,-0.018091245,-0.141294655,-0.746515313,0.206654452,-0.128297369
Ceuta,-1.062144872,-0.20279011,-0.906082025,-0.144773204,-1.416232898,-1.664260582,-0.191238843,-1.883135712,2.465143874,-0.69001164,1.025005645,1.272416486,1.268601699,1.025004296,1.272419367,-0.622253107,0.087281848,-0.755778531,-0.150039092,2.351112211,-0.204509411,-0.623935628,2.918417792,2.381999629,0.575031567,0.199741112,-0.97404313,-0.421673931,-0.365600938,-0.414239969,-0.410939126,-0.417070421,-0.409684518,-0.489051295,-0.44699305,-0.767979483,-0.647298815,-0.390207318,-0.456952155,1.299989564,-1.082433467,-0.511563394,1.254153964,-0.164727466,-0.488206002,0.184040951
Ciudad Real,-0.814097339,0.27623913,-0.363512409,-0.125621355,-0.072680526,-0.241872202,-0.1671051,0.012211004,0.921658969,-0.30767101,0.244191573,0.191902763,0.040932213,0.244190223,0.191902342,-0.601302296,0.069536583,-0.817121559,-0.130878489,-0.73133001,0.453608967,0.942729971,-0.379790956,-0.060592012,0.541940356,0.199742847,0.785923476,0.096121635,0.41825346,-0.434503012,-0.444626676,-0.425517596,-0.48253922,-0.432451579,-0.419146673,-0.499437303,-0.463223784,-0.390207318,-0.913302617,-0.526439713,2.377044513,-1.24400676,-0.266679466,0.883344666,0.419694715,0.059453444
Córdoba,2.822686687,-0.469704315,0.255607167,-0.14041205,0.363964499,0.790147591,-0.217215573,0.3647438,-1.110993051,1.197263055,-1.570986902,-1.696472477,-1.527738904,-1.570996892,-1.696474296,0.88311151,0.19836682,3.310755524,-0.145675945,-0.756219638,0.453608967,-0.353447985,-0.600333818,-0.588129771,-0.570241075,0.199741831,-0.871363077,-0.998851129,-0.729304247,0.14914858,0.156314618,0.142816536,0.199420857,0.139597373,0.117854794,0.532484286,0.117566298,0.136011048,-1.034694922,-0.488325497,-1.632903991,-0.383616991,0.042548607,-0.557966837,-1.225657884,1.982960295
"Coruña, A",-0.194163247,-0.331395948,-0.387514721,-0.137440976,-0.486154305,-0.376324856,-0.217215573,-0.45913301,-0.260171613,-0.585343952,0.789026742,0.921885476,0.817919695,0.789027552,0.92188488,-0.205028019,0.160770597,-0.047714567,-0.142703514,1.086119885,-0.290725918,-0.429172834,0.149500648,0.258908718,-0.128886006,-7.366772957,0.066557827,-0.723072827,1.066761476,-0.033575242,-0.051449326,-0.017841804,-0.11176234,0.053247163,0.023213247,0.255957599,0.195932085,-0.043673272,-0.174314913,-0.147263684,1.070120309,-0.170344245,-0.094675145,0.116818314,0.368249653,-0.403539716
