Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Palma de Mallorca,2946.774052,3.279668,0.083951,4.930098,0.028243,7.128906,37.14125,5.237095,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,35101,0.998327,597.711104,49300.97558,1.027479,1.254301,1.214899,0.269904,0.262725,1.078541,1.06891,0.532558,0.529751,15.600723,125.961797,3460655.326,1174.387742,12998,422587,206654,215933,360254,182244,159316,6521,16349,0.927676765,6.242174717,16.01056755,13.67968868,3.027674339,0.815612142,26.73804607,32.55855973
Parla,633.212934,19.994841,0.096822,27.703034,0.019997,6.856993,109.147215,5.466245,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,6540,0.95625,22.857169,277030.3385,1.043017,1.300935,1.28017,0.329106,0.336968,1.096462,1.092514,0.426996,0.608534,7.905136,47.406647,578738.9117,913.972031,9803,133482,66524,66958,66997,47097,43712,576,2805,2.334117454,5.324166237,19.0690841,32.24693509,0.377942902,1.990844833,24.28335942,14.37354996
Pontevedra,604.755716,6.60961,0.085454,3.423965,0.035801,7.74214,38.137105,6.265001,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,7077,0.994338,176.62441,34239.64548,1.090859,1.296588,1.230306,0.284937,0.243004,1.086863,1.07469,0.521571,0.548893,10.560709,69.490392,753826.0941,1246.496848,13047,83260,39344,43916,59044,39568,30946,1726,6886,0.681221751,1.489442517,14.01950383,23.7660659,1.078373903,0.428354474,20.23446423,38.3025734
Sabadell,1090.068472,2.090116,0.043296,1.570535,0.013927,5.171963,27.855174,4.082364,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.71455,25177,0.998559,694.074811,15705.34551,1.083084,1.415343,1.360043,0.415406,0.435982,1.133652,1.122543,-123991.3169,0.687683,17.994628,107.511781,1910152.83,1752.323712,13520,216520,105388,111132,139550,93237,81596,1423,10184,1.392173289,2.515662469,19.89253037,23.5695134,1.087194583,0.598761951,26.95004489,23.99411905
Salamanca,885.137174,3.267961,0.094073,4.048108,0.020095,6.581246,46.490574,4.532603,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,9409,0.995427,218.654554,40481.07659,1.051635,1.257037,1.21058,0.312493,0.306654,1.082017,1.07135,0.549894,0.51992,11.288692,64.237809,882897.217,997.469367,13185,144825,65661,79164,79554,92491,64588,14907,12954,0.761127537,7.018541555,29.25256781,26.09774571,1.115083177,0.421178931,28.29401661,7.03973867
San Cristóbal de La Laguna,1438.04495,0.814449,0.052825,1.018972,0.017127,6.116619,24.412439,4.596158,0.556311,0.932454,0.69106,1.174608,0.681847,0.789783,0.564867,27223,0.999291,1411.271008,10189.7151,1.082293,1.253427,1.205466,0.331662,0.335698,1.082882,1.072537,0.531807,0.518625,12.33727,123.810552,2160385.8,1502.307561,11481,158911,76703,82208,129699,71233,57555,4045,9621,0.925674134,3.908889416,11.64032344,15.55077719,0.533987354,0.243181842,18.80216244,48.39500419
Santa Coloma de Gramenet,275.938786,9.182635,0.041476,2.952744,0.020184,5.446041,29.299202,4.79812,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,6653,0.989299,93.451637,29527.44262,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,16.338627,55.920871,510347.0832,1849.493832,10799,120443,59527,60916,57124,48527,45646,498,2371,2.440079648,2.179385759,25.5793274,8.273807802,0.314589044,0.278266951,43.15656515,17.77797824
Santa Cruz de Tenerife,1017.423254,1.543634,0.048066,1.004617,0.013195,5.551545,24.463683,4.069826,0.7863,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,21167,0.999013,1012.747587,10046.16814,1.049767,1.235287,1.199565,0.374101,0.374048,1.082768,1.072958,0.532703,0.516691,9.025349,106.397217,1496086.987,1470.466672,12547,209194,99840,109354,176209,96313,78572,5125,12593,0.739465334,2.971492933,14.5187984,19.0880732,0.413263605,0.604738863,32.26989874,29.39426893
Santander,1216.584547,3.359808,0.123049,3.951181,0.032875,8.443763,45.332585,5.853981,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,9887,0.996752,307.904062,39511.80574,1.069452,1.275037,1.213704,0.273275,0.244573,1.080693,1.068258,0.556365,0.5255,13.140323,72.304405,1161190.899,954.467901,14202,173375,79936,93439,117011,92442,73395,8286,10742,0.771991578,6.903087829,19.01689502,17.76517482,0.843979824,0.698586902,31.63147502,22.368809
Segovia,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739,1.451914,0.616999,0.802926,1.624175,0.815801,0.91763,0.781063,5383,0.994846,194.011864,28400.15682,1.064557,1.273825,1.215704,0.302834,0.295236,1.083889,1.070855,0.54725,0.518428,11.974658,50.979095,549244.4213,996.819737,13441,52057,24328,27729,36270,28894,21254,2649,4972,0.628881795,16.82703858,15.53102878,23.03909757,2.210847803,0.167142189,25.54959821,16.04636507
Sevilla,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739,0.214436,0.615403,0.803449,1.626831,0.829605,0.918227,0.782341,57878,0.997208,358.230217,104142.886,1.035909,1.267778,1.219951,0.450273,0.389583,1.096375,1.081786,0.340574,0.513197,13.41208,139.26766,4097269.579,1098.253798,12490,691395,328013,363382,485440,337303,268435,20612,48178,1.465233613,14.4821703,21.98988141,23.33898421,1.35333236,1.202196674,23.91609028,12.25211116
Soria,379.935971,4.003721,0.110511,2.281415,0.033063,8.137307,34.455219,5.682173,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,3438,0.993995,166.535215,22814.152,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,9.009657,41.858176,374902.5855,986.752016,14573,39821,18788,21033,29588,23597,15965,3645,3977,1.02237651,3.16006562,16.31025216,37.93921379,0.674618665,0.947700241,23.57955247,16.36622055
Tarragona,1313.091165,5.279116,0.138017,2.281415,0.040985,8.785371,55.511952,6.577365,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,9514,0.994988,199.540585,65805.71883,1.057172,1.259214,1.206575,0.263796,0.216383,1.076287,1.065068,0.54812,0.528677,14.707599,65.374082,1138688.585,867.181667,13860,136496,66666,69830,94004,65723,52391,5548,7772,0.694231218,12.17989777,15.55301158,23.39023286,1.162169448,2.463067373,15.72582008,28.83156967
Terrassa,1253.75102,1.919933,0.049161,1.306412,0.01567,5.899534,23.790631,4.719074,0.638085,0.713778,0.757116,1.41517,0.749488,0.865275,0.680553,25503,0.998958,959.690368,13064.12008,1.035035,1.404373,1.348658,0.384417,0.417365,1.12768,1.119531,0.653962,0.675532,17.736428,111.673236,2090006.008,1667.002438,13243,223627,109948,113679,149620,101739,83249,2544,15908,2.146106915,4.494514233,9.861473011,27.15666178,0.459974344,0.44176089,23.71182654,31.72768228
Teruel,519.992981,4.61585,0.087497,2.474775,0.020931,6.973207,34.569297,4.802547,1.538482,0.79297,0.728547,1.303966,0.708345,0.832625,0.627075,5943,0.995241,210.117254,24747.75254,1.040073,1.276532,1.227719,0.326296,0.311237,1.088724,1.077512,0.561993,0.539894,9.270194,56.084285,566438.277,1089.319082,14090,36240,17287,18953,28945,19022,13218,2755,3026,0.612204498,3.333225824,14.05755242,39.63495541,1.050809995,0.119447027,14.07670123,27.11510359
Toledo,1699.657512,13.068388,0.217654,34.804116,0.022233,8.69961,110.391413,4.81292,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,7809,0.979523,48.834958,348041.156,1.02563,1.259621,1.216064,0.311901,0.295576,1.084151,1.07396,-55179.7298,0.520097,10.888881,50.290169,946247.6269,556.728411,14326,85811,40941,44870,60442,37923,31386,2464,4030,0.314278985,16.67185861,17.11969161,15.40663401,1.700557438,0.645446531,8.880285029,39.26124778
Torrejón de Ardoz,2003.737494,66.928393,0.339099,898.453967,0.024424,8.297531,821.120921,5.573816,0.399254,2.307808,0.45807,0.612619,0.471648,0.523509,0.294608,5909,0.551611,2.230206,8984539.673,1.046314,1.279729,1.224598,0.28411,0.283542,1.084836,1.072528,0.559403,0.53502,9.017763,31.137722,655656.7445,327.216887,12188,132853,65343,67510,86439,49216,44581,661,3967,0.300058007,72.04759211,4.894815203,11.73851288,0.234591027,0.22512086,7.597285006,2.962024905
Valencia,2164.215491,2.51541,0.065111,4.506163,0.024895,6.216411,38.408851,4.992987,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,33239,0.997918,480.279041,45061.62681,1.042692,1.257228,1.213188,0.306693,0.276416,1.079785,1.070835,0.54507,0.5255,14.618656,125.303941,2864155.963,1323.415332,13873,800215,380293,419922,513747,419994,328979,33757,57193,2.379025634,4.969881312,20.81178784,15.18235964,0.892344167,0.835997541,46.08362235,8.844981523
Valladolid,2764.692882,2.285334,0.170702,9.992102,0.028855,8.463257,74.230483,5.39219,0.289363,0.708775,0.762939,1.439438,0.757313,0.87193,0.692223,16196,0.996386,276.687811,99921.02196,1.029885,1.260936,1.224576,0.297016,0.25854,2.406995,1.07222,0.554657,0.537779,10.983938,75.829594,1873658.813,677.709566,14247,299265,140247,159018,182319,158259,129151,10260,18757,0.554565569,6.484726891,20.23269672,35.57945567,0.798932155,0.459606087,19.95669411,15.93332281
Vigo,2673.672921,4.253406,0.076896,7.653004,0.03715,7.448687,40.795189,6.35969,0.299214,0.92435,0.691404,1.175722,0.67477,0.790176,0.565403,34770,0.997138,349.362521,76530.04423,1.109125,1.296248,1.232625,0.278694,0.239418,1.086155,1.074478,0.565968,0.551518,11.377132,151.527114,3592622.038,1343.702893,13164,296692,140164,156528,215138,143638,114455,10536,18588,0.428888023,3.261984294,15.13932598,20.63672613,0.557649427,0.404116363,11.82431516,47.74699461
Zamora,551.778808,9.977708,0.075195,6.638329,0.018018,6.080244,52.258509,4.223122,1.449856,0.673657,0.774217,1.488181,0.758289,0.88482,0.715664,7338,0.987969,83.120135,66383.29042,1.047176,1.260158,1.217223,0.350769,0.330062,1.086805,1.076438,0.547378,0.528852,12.125267,55.257533,622534.684,1128.23232,12884,60988,28299,32689,41943,39079,27297,5092,6673,1.117132834,4.423835616,24.28850055,27.91758554,0.424894784,0.199479246,21.52089153,20.10767991
Zaragoza,4188.64345,1.57618,0.148265,6.420273,0.028926,8.365215,65.532054,5.374877,0.190993,0.765839,0.742138,1.35533,0.731288,0.848158,0.651776,28251,0.998467,652.408945,64202.72871,1.04527,1.245742,1.197868,0.269641,0.255703,1.074214,1.064998,0.036638,0.504216,12.7523,105.150657,3250830.304,776.105759,14220,681877,326103,355774,376213,327112,277588,14208,35136,0.759847791,7.166900881,14.00403742,39.66411238,0.305394384,0.273807024,23.48225866,14.34364147
