,Ciudades_x,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,Ciudad,Ciudades_y,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD
27,Granada.txt,1.037741,1.244693,1.203264,0.36677,0.342883,1.083137,1.07286,0.512325,0.493546,Granada,Granada.txt,1395.765302,4.125408,0.072981,4.751803,0.015907,5.810415,43.193601,3.975179
28,Guadalajara.txt,1.025042,1.281085,1.250415,0.314805,0.324792,1.089258,1.083527,0.567957,0.565557,Guadalajara,Guadalajara.txt,788.017019,3.07834,0.104845,3.024986,0.019503,7.150348,43.903155,4.658112
29,Hospitalet.txt,1.043084,1.294451,1.26153,0.341749,0.361694,1.096029,1.090425,0.596134,0.595362,Hospitalet,Hospitalet.txt,629.336224,2.738342,0.060023,2.476622,0.017624,5.836993,37.187806,4.335084
30,Huelva.txt,1.035522,1.264199,1.227771,0.355944,0.318338,1.090463,1.078018,0.532601,0.516791,Huelva,Huelva.txt,723.771461,6.668003,0.072836,8.179238,0.018571,5.920937,61.218199,4.433064
31,Huesca.txt,1.045864,1.280859,1.231216,0.277026,0.231976,1.084043,1.073433,0.552099,0.534035,Huesca,Huesca.txt,388.279842,2.759404,0.100931,1.452965,0.036755,8.069576,30.759632,6.25183
32,Jaen.txt,1.039976,1.250475,1.220862,0.375607,0.37575,1.087279,1.079303,0.536592,0.526757,Jaen,Jaen.txt,742.615915,2.867485,0.057688,2.734006,0.013795,5.840019,36.917021,4.181158
33,Jerez.txt,1.039824,1.262895,1.22998,0.346752,0.345283,1.087721,1.078811,0.391348,0.532329,Jerez,Jerez.txt,2182.981449,4.669319,0.078415,9.203425,0.015923,5.986853,53.919284,4.123398
34,Las Palmas.txt,1.059347,1.226561,1.197519,0.367684,0.375381,1.080615,1.072834,0.523458,0.506516,"Palmas de Gran Canaria, Las",Las Palmas.txt,1576.635765,2.406659,0.0416,2.056654,0.013085,4.793442,28.428436,3.592223
35,Leganes.txt,1.02423,1.272742,1.225505,0.286329,0.293514,1.084037,1.071646,0.548894,0.527147,Leganés,Leganes.txt,1189.409657,12.402124,0.143251,21.368705,0.025194,7.908193,85.224575,5.015887
36,Leon.txt,1.070044,1.239692,1.19268,0.296222,0.289311,1.075591,1.066118,0.518728,0.497454,Leon,Leon.txt,940.397089,4.102869,0.093955,5.121285,0.0226,6.788706,64.186164,4.76932
37,Lleida.txt,1.040533,1.257449,1.207681,0.29428,0.280211,1.080504,1.070304,0.545342,0.524194,Lleida,Lleida.txt,1021.769176,2.504677,0.112307,3.573076,0.024872,7.461297,45.294329,5.065696
38,Logronio.txt,1.030207,1.251819,1.203456,0.234857,0.206249,1.072616,1.060387,0.531431,0.508794,Logroño,Logronio.txt,852.032302,2.157928,0.158311,2.262931,0.043755,9.731187,44.4711,6.557399
39,Lugo.txt,1.091946,1.336751,1.286445,0.31638,0.331624,1.101408,1.092393,0.571794,0.621237,Lugo,Lugo.txt,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742
40,Madrid.txt,1.092991,1.282481,1.208812,0.323565,0.26785,inf,1.06851,0.366613,0.509534,Madrid,Madrid.txt,25572.73832,2.599277,0.194928,84.278713,0.026986,8.216401,207.841865,5.191139
41,Malaga.txt,1.066502,1.304931,1.237119,0.311432,0.313122,1.091681,1.079102,0.574079,0.559254,Malaga,Malaga.txt,1547.440553,4.355415,0.139058,7.718126,0.020342,8.302942,63.933688,4.762325
42,Marbella.txt,1.054742,1.250681,1.185366,0.247345,0.169418,1.070926,1.056655,0.211107,0.497154,Marbella,Marbella.txt,3168.727803,2.135795,0.178239,5.418642,0.063617,10.20654,49.245705,8.446928
43,Mataro.txt,1.015978,1.350681,1.312535,0.369457,0.403057,1.114026,1.104583,0.631793,0.645094,Mataró,Mataro.txt,594.463594,5.236858,0.051442,2.462405,0.015254,5.555791,29.73569,4.219238
44,Melilla.txt,1.070934,1.19913,1.157815,0.444843,0.437038,1.076771,1.067197,0.480239,0.446324,Melilla,Melilla.txt,401.005097,6.104528,0.041811,3.416999,0.00939,4.313018,40.89123,3.119782
45,Mostoles.txt,1.017083,1.297285,1.263912,0.283876,0.264516,1.09021,1.080007,0.57319,0.570475,Móstoles,Mostoles.txt,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974
46,Murcia.txt,1.060384,1.280109,1.222618,0.432661,0.298653,1.086209,1.07391,-139557.0252,0.533602,Murcia,Murcia.txt,6430.378198,2.239878,0.10124,12.839311,0.021877,7.190346,84.525695,4.697967
47,Ourense.txt,1.096012,1.280935,1.224703,0.326494,0.291726,1.087607,1.077016,0.56419,0.543765,Ourense,Ourense.txt,1072.807433,1.343457,0.06342,1.306178,0.023652,6.570052,25.322967,5.014611
48,Oviedo.txt,1.057826,1.254438,1.205068,0.265896,0.243552,1.35325,1.065915,0.538619,0.514612,Oviedo,Oviedo.txt,981.507459,3.520464,0.11599,2.993032,0.032942,8.17277,37.143082,5.842881
49,Palencia.txt,1.043739,1.245576,1.201339,0.295989,0.296904,0.661278,1.068949,0.549911,0.518849,Palencia,Palencia.txt,624.655113,3.783919,0.103471,3.707235,0.021156,7.332732,55.588778,4.845938
50,Palma.txt,1.027479,1.254301,1.214899,0.269904,0.262725,1.078541,1.06891,0.532558,0.529751,Palma,Palma.txt,2946.774052,3.279668,0.083951,4.930098,0.028243,7.128906,37.14125,5.237095
51,Parla.txt,1.043017,1.300935,1.28017,0.329106,0.336968,1.096462,1.092514,0.426996,0.608534,Parla,Parla.txt,633.212934,19.994841,0.096822,27.703034,0.019997,6.856993,109.147215,5.466245
52,Pontevedra.txt,1.090859,1.296588,1.230306,0.284937,0.243004,1.086863,1.07469,0.521571,0.548893,Pontevedra,Pontevedra.txt,604.755716,6.60961,0.085454,3.423965,0.035801,7.74214,38.137105,6.265001
53,Sabadell.txt,1.083084,1.415343,1.360043,0.415406,0.435982,1.133652,1.122543,-123991.3169,0.687683,Sabadell,Sabadell.txt,1090.068472,2.090116,0.043296,1.570535,0.013927,5.171963,27.855174,4.082364
54,Salamanca.txt,1.051635,1.257037,1.21058,0.312493,0.306654,1.082017,1.07135,0.549894,0.51992,Salamanca,Salamanca.txt,885.137174,3.267961,0.094073,4.048108,0.020095,6.581246,46.490574,4.532603
