Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Palma de Mallorca,0.664230755,0.049002641,0.247570768,0.005487313,0.405347609,0.548420161,0.045232376,0.561917472,0.093640853,0.296322744,0.962337373,0.911979794,0.95364541,0.9623372,0.911979559,0.285146794,0.999027318,0.419275931,0.005487312,0.926387017,0.886216981,0.893279845,0.568673886,0.575563131,0.952221875,1.44E-06,0.770341858,0.866965574,0.695675444,0.126723003,0.132990626,0.121254066,0.178989788,0.118997839,0.120645407,0.113754906,0.106785717,0.108818011,0.380182985,0.086639602,0.48086128,0.261501045,0.496041665,0.170721708,0.580207126,0.498858852
Parla,0.142732187,0.298749755,0.285527235,0.030834116,0.286999828,0.527502145,0.132924655,0.586504268,0.435775598,0.292831119,0.966124794,0.920284283,0.954359002,0.966126023,0.920284122,0.053128402,0.956920801,0.0160336,0.030834116,0.940396258,0.919165884,0.94127171,0.693409464,0.738210513,0.973249132,1.16E-06,0.884904818,0.43930533,0.524673517,0.040027828,0.042811019,0.037599301,0.033287011,0.030752405,0.033101836,0.010047972,0.018321239,0.00750469,0.956574289,0.073897907,0.572720746,0.616432686,0.061920605,0.416718209,0.526941203,0.220230031
Pontevedra,0.136317661,0.098756443,0.252003102,0.003810952,0.513821115,0.595595687,0.046445175,0.672207306,0.456281297,0.333908193,0.915811707,0.818202997,0.855980858,0.915811667,0.818202037,0.05749078,0.99503552,0.123896584,0.003810952,0.983531162,0.916094544,0.904608163,0.600347647,0.532359475,0.957370898,1.41E-06,0.798177358,0.586881207,0.698298009,0.024967539,0.025319535,0.024660397,0.029335616,0.025836277,0.023434512,0.030109027,0.044976845,0.018761726,0.279180129,0.020673037,0.421061685,0.454312318,0.176676329,0.08966199,0.439081461,0.586868029
Sabadell,0.245711748,0.031229138,0.127679527,0.001748042,0.199882312,0.397874342,0.033923352,0.438019868,0.253138976,0.291868734,0.962965913,0.913349328,0.921480705,0.962965585,0.913348527,0.2045281,0.999259481,0.486872104,0.001748041,0.976521132,1,1,0.875239139,0.955124807,1,-0.335528028,1,1,0.723613787,0.064928795,0.067821654,0.062404574,0.069334483,0.060879927,0.061790295,0.024823375,0.066518181,0.063789869,0.570544199,0.034916677,0.597452126,0.450555019,0.178121472,0.125331218,0.584807433,0.367635386
Salamanca,0.199518294,0.048827722,0.277420458,0.004505638,0.288406338,0.506289183,0.056618426,0.48632855,0.311746989,0.30943822,0.941171126,0.867536948,0.899031467,0.94117141,0.867536023,0.076435036,0.996125284,0.153379435,0.004505637,0.948166347,0.888150081,0.89010421,0.658406725,0.671800309,0.954395511,1.49E-06,0.756046027,0.627336781,0.705684008,0.043429303,0.042255642,0.044453404,0.039525872,0.06039282,0.048910628,0.260043611,0.084610812,0.07879925,0.311927333,0.097415352,0.878571428,0.498884729,0.182690624,0.088160025,0.613971193,0.107862141
San Cristóbal de La Laguna,0.324148939,0.012168961,0.155780465,0.001134139,0.245809174,0.470545856,0.029730626,0.493147725,0.19188471,0.404043144,0.860116821,0.72202214,0.821893552,0.860117378,0.722021471,0.221149003,0.999991994,0.989963147,0.001134139,0.975807957,0.885599462,0.886344035,0.698794825,0.735428268,0.955452931,1.44E-06,0.754162892,0.685608505,0.61448298,0.047653333,0.049361638,0.046162718,0.06444008,0.04651222,0.04358474,0.070562582,0.06284087,0.024390244,0.379362262,0.054254269,0.349605397,0.297268789,0.087486284,0.05090216,0.408000966,0.7415032
Santa Coloma de Gramenet,0.062199213,0.137200889,0.122312363,0.003286472,0.289683679,0.41895891,0.035681958,0.514817367,1,0.368572689,0.882174226,0.758334455,0.830754395,0.882174016,0.758334281,0.05404637,0.989992985,0.065553445,0.003286473,0.94328412,0.886021268,0.888052804,0.556598963,0.5044494,0.94904605,1.45E-06,0.751511961,0.907972479,0.57798116,0.036117767,0.038308153,0.034206502,0.028381677,0.031686136,0.034566398,0.008687309,0.015486509,0.022514071,1,0.030249252,0.76824935,0.15816218,0.05154097,0.058246079,0.936483786,0.272392326
Santa Cruz de Tenerife,0.229336829,0.023063963,0.141746216,0.001118162,0.189376543,0.427075235,0.029793033,0.436674595,0.27121331,0.315355957,0.934666668,0.854501174,0.878498804,0.934666482,0.854500787,0.171952428,0.999713799,0.710411241,0.001118162,0.946482137,0.872782781,0.882005201,0.788211622,0.819443288,0.955827973,1.44E-06,0.75135055,0.501557965,0.671537144,0.062731915,0.06425128,0.061406164,0.087548262,0.062888429,0.059500307,0.089402529,0.082252892,0.04315197,0.303049671,0.041243473,0.436057495,0.36488777,0.067707403,0.126582289,0.700246576,0.450375919
Santander,0.274229669,0.05020004,0.36287043,0.004397756,0.471826741,0.649570897,0.055208172,0.628106651,0.226814418,0.291252565,0.967378141,0.923056544,0.938334509,0.967379526,0.92305657,0.080318121,0.997451213,0.215985217,0.004397755,0.964230362,0.900867846,0.892401196,0.575776411,0.535796752,0.951641051,1.51E-06,0.764160231,0.730235879,0.760115607,0.051990716,0.051442211,0.052469325,0.058136132,0.060360825,0.055579914,0.144544265,0.070162834,0.033771107,0.316379664,0.095812887,0.571153299,0.339599233,0.13827417,0.146226304,0.686392983,0.342732555
Segovia,0.124199878,0.056018154,0.3018558,0.003161003,0.34591538,0.564239318,0.050798448,0.532158382,0.500799188,0.26735283,0.999349056,0.998367378,0.983360756,0.999349834,0.998366441,0.043729386,0.995543876,0.136093347,0.003161003,0.959816973,0.900011517,0.893871738,0.638055708,0.646786398,0.953954548,1.48E-06,0.753876423,0.66545738,0.719385571,0.015610559,0.015656101,0.015570821,0.018020507,0.018866594,0.016095041,0.046210205,0.032475294,0.03564728,0.257730028,0.233554489,0.466458816,0.440415585,0.362216177,0.034985747,0.554418184,0.24586073
