,ciudades,Ciudad Coches,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec
11,Burgos,Burgos,8,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,9350,0.996769,309.514149,56106.63393,Burgos_class.shp,0.791483702,8.259385879,14.40477962,52.3121759,0.307489852,0.136661612,14.84266721,8.945356237,1.041695,1.256064,1.222159,0.285839,0.251415,1.078412,1.069578,0.548882,0.53238,1736.579705,2.081176,0.18573,5.610663,0.030097,8.833211,58.938853,5.566782,14421,176418,83995,92423,107558,92140,71076,6893
12,Caceres,Cáceres,8,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.7148,11413,0.984475,64.411039,155914.9093,Caceres_class.shp,0.434506667,5.610840978,20.21645876,27.46440934,1.403430191,0.404661328,16.04868791,28.41700482,1.033562,1.254194,1.220952,0.339863,0.348555,1.084645,1.073838,0.543867,0.532931,1004.264138,10.801445,0.087993,15.591491,0.017182,6.305038,78.210549,4.368,12815,96255,46104,50151,73858,50311,37048,5989
13,Cadiz,Cádiz,8,2.306052,0.847446,0.71318,1.248899,0.710609,0.815062,0.600593,4998,0.996097,256.191456,13541.17093,Cadiz_class.shp,1.045978109,9.97986691,17.39455304,22.72792078,1.604226427,1.280809783,44.05111827,1.915526688,1.065735,1.242394,1.198581,0.295931,0.287829,1.076832,1.065849,0.507219,0.486576,346.91323,4.314831,0.06941,1.354117,0.022331,6.344666,26.279749,4.66083,12997,115439,54580,60859,70672,59204,46966,5346
14,Cartagena,Cartagena,8,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,41052,0.995204,208.506366,121724.4577,Cartagena_class.shp,1.467330278,4.402338522,14.28780137,20.87064966,1.207123214,0.138342862,15.95147077,41.67494333,1.030318,1.24236,1.201139,0.352023,0.341692,1.083272,1.071986,0.527564,0.508556,2538.032439,5.180597,0.061825,12.172446,0.015923,5.60611,56.254443,4.020624,11092,216108,107478,108630,159993,115780,76599,28332
15,Castello,Castelló de la Plana,8,0.750757,0.629566,0.796432,1.591756,0.803526,0.910208,0.765473,14699,0.992952,141.879403,75105.3851,Castello_de_la_Plana_class.shp,1.462352126,12.12712797,14.61217847,23.72778937,0.834905352,0.157396688,24.26244076,22.81580926,0.995107,1.300942,1.239912,0.366698,0.353584,1.101108,1.081041,0.582947,0.565608,1065.590722,6.736165,0.072494,7.510539,0.015936,6.126644,50.773006,4.231785,12785,174264,84319,89945,128463,90990,68917,8363
16,Ceuta,Ceuta,8,2.287925,0.620345,0.801459,1.616759,0.821489,0.915953,0.777497,6816,0.993496,153.759147,22740.87731,Ceuta_class.shp,0.878866735,19.96326745,12.05413647,18.74626709,2.046676515,0.597665077,18.38491296,27.32820769,1.095603,1.262175,1.203947,0.47462,0.456466,1.095877,1.082542,0.488503,0.496238,349.66179,3.370658,0.0513,2.274088,0.009016,4.6342,37.428848,3.044126,12358,84202,42542,41660,67589,26664,24904,413
17,Ciudad Real,Ciudad Real,8,1.389138,0.713925,0.756267,1.411683,0.744301,0.864305,0.678876,7202,0.992569,134.573939,42794.05996,Ciudad_Real_class.shp,0.615294047,3.277289094,31.04549861,11.35236866,0.726024455,1.390794448,26.06445735,25.52827334,1.028727,1.284991,1.257552,0.298989,0.302434,1.089199,1.082145,0.573261,0.56893,575.896521,7.185502,0.079963,4.279406,0.023164,6.736786,39.660272,5.021657,13580,75504,35773,39731,48679,38018,29682,3070
18,Cordoba,Córdoba,8,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.50652,34551,0.999299,1425.579338,27307.27755,Cordoba_class.shp,0.545181932,3.625494744,9.032239778,20.03786553,0.994550043,0.300080889,12.14712247,53.31746462,1.028187,1.284991,1.213202,0.287245,0.269167,1.078779,1.068802,0.523638,0.500479,3892.869064,1.245034,0.11267,2.730728,0.027762,8.262326,35.02702,5.389476,11791,326039,156523,169516,225687,152772,121823,13280
19,Coruña,"Coruña, A",8,0.700946,0.645963,0.787801,1.55023,0.793153,0.900344,0.745503,14503,0.997335,375.208183,30418.17601,Corunia_class.shp,1.042108506,6.741383266,23.87092748,22.19081973,0.875388518,0.810725057,25.62930555,18.83934189,1.068158,1.259186,1.210611,0.327174,0.322582,1.084438,1.074097,-369540.8625,0.539218,1141.314854,2.34648,0.078695,3.041818,0.01881,6.538037,35.02702,4.529875,14591,247604,114776,132828,144917,135450,105584,10544
20,Cuenca,Cuenca,8,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,6426,0.996383,276.482083,17299.63891,Cuenca_class.shp,1.500509888,10.14447526,15.38808253,26.96001378,0.571314941,0.905879967,25.03576172,19.4939619,1.041051,1.257844,1.218278,0.41456,0.380563,1.085491,1.078784,0.542628,0.527547,478.304019,3.312846,0.074433,1.729964,0.013484,6.117953,36.723471,3.713148,13160,54621,25956,28665,40587,30958,21473,4594
21,Dos Hermanas,Dos Hermanas,8,0.415394,0.835171,0.713537,1.250146,0.692011,0.815471,0.601193,23546,0.995341,214.628729,89730.80787,doshermanas_class.shp,1.019749879,5.436159202,17.73784075,26.50511794,0.282604548,0.211401794,6.716097268,42.09102862,1.018742,1.270227,1.230733,0.342839,0.368318,1.085491,1.08187,0.551995,0.54694,1925.880926,4.048958,0.081792,8.973081,0.01476,6.152659,56.908686,3.957091,10994,135050,66330,68720,97507,50661,44299,1094
22,Elche,Elche/Elx,8,0.402706,0.918435,0.693897,1.183835,0.683827,0.793026,0.569304,17855,0.998199,555.095863,35787.72568,Elche_class.shp,2.28447609,1.580429639,11.91945174,19.66095931,0.877565925,0.156869792,15.84665598,47.67359152,1.014367,1.239454,1.206914,0.276196,0.269019,1.074923,1.06784,0.234472,0.519107,1986.561847,3.488935,0.111261,3.578773,0.025248,8.125683,34.893413,5.101094,9840,234765,116386,118379,164532,113351,86118,13660
23,Fuenlabrada,Fuenlabrada,8,0.810631,0.937728,0.687368,1.162728,0.687395,0.785563,0.559154,7987,0.995503,222.375662,44379.20819,Fuenlabrada_class.shp,2.143776295,4.22067063,22.22148147,48.25205318,1.178906775,0.210116081,15.54435271,6.228642869,1.027474,1.297684,1.253234,0.265427,0.233612,1.096833,1.07568,0.562036,0.554194,986.88558,4.797541,0.123561,4.437921,0.034045,9.006354,42.055108,6.179378,11205,194514,95847,98667,122452,70841,66655,674
24,Getafe,Getafe,8,0.59992,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,14755,0.996697,302.737816,44048.38937,Getafe.shp,1.391918878,8.96903095,14.62894766,42.7313536,0.411231219,0.267820787,15.14063568,16.45906123,1.023921,1.277073,1.242009,0.319235,0.328134,1.089673,1.081304,0.575847,0.559715,1333.511318,3.280688,0.090377,4.404839,0.018878,6.498853,48.168808,4.376008,13638,185180,90403,94777,107745,69002,62509,1663
25,Gijón,Gijón,8,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,14615,0.996262,267.501224,77425.69323,Gijon_class.shp,0.595710872,2.246498579,14.10405399,38.15103855,0.537690162,0.440848625,18.61450426,25.30965497,1.061926,1.235201,1.187461,0.240152,0.225954,1.068407,1.059691,0.529323,0.50022,2071.146768,3.37409,0.141714,7.742569,0.036526,8.640796,59.908947,5.967553,13842,271717,127961,143756,167896,147212,122519,8079
26,Girona,Girona,8,1.17693,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,9406,0.998359,609.466839,11152.93595,Girona_class.shp,1.969354894,3.52277132,23.44458903,16.06646087,0.909671049,0.53342316,22.20234348,31.3513862,1.031952,1.235201,1.221572,0.293199,0.270808,1.084289,1.071519,0.562663,0.543797,679.734461,1.979426,0.072266,1.115294,0.026972,6.89068,23.841674,5.343331,14750,103369,49809,53560,76071,47486,38245,2474
27,Granada,Granada,8,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.72579,19125,0.996596,293.733857,47518.02585,Granada_class.shp,1.048003945,7.500218094,27.4712954,13.88726665,1.2477455,0.874957416,29.13292877,18.83758422,1.037741,1.244693,1.203264,0.36677,0.342883,1.083137,1.07286,0.512325,0.493546,1395.765302,4.125408,0.072981,4.751803,0.015907,5.810415,43.193601,3.975179,13251,233648,107829,125819,173509,140027,96916,16029
28,Guadalajara,Guadalajara,8,1.015207,0.677647,0.775695,1.494749,0.7899,0.886509,0.718822,7516,0.996161,260.502719,30249.85776,Guadalajara_class.shp,1.474126118,5.185273581,16.5472776,33.08551424,2.224587785,0.599759579,18.94362021,21.93984089,1.025042,1.281085,1.250415,0.314805,0.324792,1.089258,1.083527,0.567957,0.565557,788.017019,3.07834,0.104845,3.024986,0.019503,7.150348,43.903155,4.658112,13514,87484,42091,45393,57686,40223,32538,2263
29,Hospitalet,"Hospitalet de Llobregat, L'",8,1.271181,0.83472,0.705742,1.223298,0.669583,0.806562,0.588282,10485,0.996065,254.110685,24766.22439,Hospitalet_de_Llobregat_class.shp,1.007766588,2.463846665,20.79592604,37.89075394,0.397821571,0.812028081,32.37917847,4.252678643,1.043084,1.294451,1.26153,0.341749,0.361694,1.096029,1.090425,0.596134,0.595362,629.336224,2.738342,0.060023,2.476622,0.017624,5.836993,37.187806,4.335084,11726,269382,130289,139093,126843,112105,102031,1429
30,Huelva,Huelva,8,1.105321,0.672091,0.777305,1.50195,0.784593,0.888348,0.722285,9937,0.988699,88.488862,81792.38016,Huelva_class.shp,1.639460011,9.137241276,30.97576606,22.86379262,0.863142065,0.446594343,23.24439887,10.82960476,1.035522,1.264199,1.227771,0.355944,0.318338,1.090463,1.078018,0.532601,0.516791,723.771461,6.668003,0.072836,8.179238,0.018571,5.920937,61.218199,4.433064,11310,143837,69043,74794,98494,67752,55255,3979
31,Huesca,Huesca,8,2.06037,0.82612,0.72376,1.286486,0.727665,0.827154,0.618669,3847,0.996258,267.232724,14529.65173,Huesca_class.shp,1.476991681,8.280800709,14.77907294,43.77816207,0.317369712,0.766063212,21.92581989,8.675719798,1.045864,1.280859,1.231216,0.277026,0.231976,1.084043,1.073433,0.552099,0.534035,388.279842,2.759404,0.100931,1.452965,0.036755,8.069576,30.759632,6.25183,13630,53956,25702,28254,36057,28310,20786,2615
32,Jaen,Jaén,8,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,12873,0.996318,271.621896,27340.06078,Jaen_class.shp,1.188939386,8.65018791,22.22008346,22.82412436,0.524742753,0.530847461,20.82115597,23.2399187,1.039976,1.250475,1.220862,0.375607,0.37575,1.087279,1.079303,0.536592,0.526757,742.615915,2.867485,0.057688,2.734006,0.013795,5.840019,36.917021,4.181158,12495,112757,54244,58513,82789,54642,43258,4123
33,Jerez,Jerez de la Frontera,8,0.366471,0.710242,0.76436,1.445449,0.770671,0.873554,0.695114,27839,0.995784,237.192296,92034.2474,Jerez_de_la_Frontera_class.shp,0.942903803,13.89946354,12.21691798,23.12638675,0.818010371,0.540065787,11.9141192,36.54213256,1.039824,1.262895,1.22998,0.346752,0.345283,1.087721,1.078811,0.391348,0.532329,2182.981449,4.669319,0.078415,9.203425,0.015923,5.986853,53.919284,4.123398,10049,213105,104086,109019,156740,92037,77378,4424
34,Leganés,Leganés,8,0.672603,0.665155,0.779888,1.513618,0.776091,0.8913,0.727896,8303,0.982034,55.661289,213687.0481,Leganes.shp,0.644739285,23.15812653,19.62997727,30.14009363,0.586674277,0.556979416,17.66001629,7.623393303,1.02423,1.272742,1.225505,0.286329,0.293514,1.084037,1.071646,0.548894,0.527147,1189.409657,12.402124,0.143251,21.368705,0.025194,7.908193,85.224575,5.015887,12584,191114,92573,98541,111070,75525,70949,651
35,Leon,León,8,0.850704,0.687343,0.768489,1.46313,0.770071,0.878274,0.703617,10009,0.994554,183.625222,51212.84974,Leon_class.shp,2.221450988,3.365608961,24.46232624,28.84845073,0.622502926,1.212641379,26.53995649,12.72706229,1.070044,1.239692,1.19268,0.296222,0.289311,1.075591,1.066118,0.518728,0.497454,940.397089,4.102869,0.093955,5.121285,0.0226,6.788706,64.186164,4.76932,14434,124028,56191,67837,78774,78776,57490,5889
36,Lleida,Lleida,8,0.782956,0.706056,0.764,1.443922,0.756322,0.873142,0.69438,9098,0.996503,285.963493,35730.7559,Lleida_class.shp,0.59529133,7.719892586,17.73560412,35.09503345,0.290183155,0.618889635,23.06261972,14.88248601,1.040533,1.257449,1.207681,0.29428,0.280211,1.080504,1.070304,0.545342,0.524194,1021.769176,2.504677,0.112307,3.573076,0.024872,7.461297,45.294329,5.065696,13303,140403,69541,70862,94148,66454,55792,3167
37,Logroño,Logroño,8,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,5382,0.997344,376.517135,22629.31015,Logronio_class.shp,1.138860474,12.01304102,15.42243682,34.77140623,0.248709409,0.176393749,31.65587283,4.57327947,1.030207,1.251819,1.203456,0.234857,0.206249,1.072616,1.060387,0.531431,0.508794,852.032302,2.157928,0.158311,2.262931,0.043755,9.731187,44.4711,6.557399,13791,152485,72341,80144,93436,77682,61904,4106
38,Lugo,Lugo,8,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,9660,0.997613,419.017367,15348.22747,Lugo_class.shp,2.131199021,9.270127611,15.8464165,20.82275622,0.731994035,0.702100673,33.53081465,16.96459129,1.091946,1.336751,1.286445,0.31638,0.331624,1.101408,1.092393,0.571794,0.621237,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,12992,98519,45568,52951,71727,59647,40227,7026
39,Madrid,Madrid,9,0.035194,2.691914,0.42008,0.544866,0.429715,0.47259,0.247979,131191,0.996704,303.430574,842787.1312,Madrid_class.shp,0.752718024,7.27373778,19.72386865,8.093280003,0.901954256,3.040198015,47.02423337,13.1900099,1.092991,1.282481,1.208812,0.323565,0.26785,inf,1.06851,0.366613,0.509534,25572.73832,2.599277,0.194928,84.278713,0.026986,8.216401,207.841865,5.191139,17059,3334730,1553899,1780831,2012707,1531490,1320531,57325
40,Malaga,Málaga,9,0.581606,45.947647,0.041614,0.042504,0.062084,0.046815,0.019344,11128,0.995012,200.494332,77181.26187,Malaga_class.shp,5.903971431,0.161302769,23.25112424,8.681203416,1.103350776,5.465747245,19.19223108,36.24106905,1.066502,1.304931,1.237119,0.311432,0.313122,1.091681,1.079102,0.574079,0.559254,1547.440553,4.355415,0.139058,7.718126,0.020342,8.302942,63.933688,4.762325,11246,578460,277789,300671,420160,254736,211358,14890
41,Marbella,Marbella,8,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,17778,0.99829,584.782661,54186.41859,Marbella_class.shp,0.62215373,0.984625537,19.57024139,5.143135168,2.663106728,0.194925208,20.96231564,49.8594966,1.054742,1.250681,1.185366,0.247345,0.169418,1.070926,1.056655,0.211107,0.497154,3168.727803,2.135795,0.178239,5.418642,0.063617,10.20654,49.245705,8.446928,9993,147633,70833,76800,128691,86716,48791,26231
42,Mataró,Mataró,8,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,11556,0.995858,241.415842,24624.05073,Mataro_clas.shp,1.037829449,4.016876473,17.27686117,19.15065419,6.103669416,0.467122565,26.58451317,25.36247357,1.015978,1.350681,1.312535,0.369457,0.403057,1.114026,1.104583,0.631793,0.645094,594.463594,5.236858,0.051442,2.462405,0.015254,5.555791,29.73569,4.219238,12201,129661,64476,65185,82443,54329,47081,1272
43,Melilla,Melilla,8,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,9591,0.991479,117.35592,34169.99307,Melilla_class.shp,1.016856341,28.23870996,14.3167599,14.04272964,0.54393563,0.223297634,18.79531409,22.8223968,1.070934,1.19913,1.157815,0.444843,0.437038,1.076771,1.067197,0.480239,0.446324,401.005097,6.104528,0.041811,3.416999,0.00939,4.313018,40.89123,3.119782,11665,87076,44162,42914,72353,26246,24666,200
44,Móstoles,Móstoles,8,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,8032,0.994785,191.749053,46017.16061,Mostoles_class.shp,0.668677476,9.202293212,24.09781895,26.79997114,0.492700331,1.065648059,20.46323557,17.20965526,1.017083,1.297285,1.263912,0.283876,0.264516,1.09021,1.080007,0.57319,0.570475,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,12064,210309,102307,108002,127220,79599,74951,1649
45,Murcia,Murcia,9,0.139961,1.035827,0.665709,1.095744,0.643466,0.748923,0.498694,63516,0.998003,500.835154,128393.1079,Murcia_class.shp,1.10896294,4.97853551,11.10487113,19.01672778,0.46656886,0.72164272,20.87143272,41.73125833,1.060384,1.280109,1.222618,0.432661,0.298653,1.086209,1.07391,-139557.0252,0.533602,6430.378198,2.239878,0.10124,12.839311,0.021877,7.190346,84.525695,4.697967,11778,459403,224929,234474,358228,207618,156916,14611
46,Ourense,Ourense,8,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,16916,0.998782,821.333532,13061.77565,Ourense_class.shp,0.260536632,2.458586705,9.937318601,13.04664616,0.178122256,0.311044864,17.17025435,56.63749043,1.096012,1.280935,1.224703,0.326494,0.291726,1.087607,1.077016,0.56419,0.543765,1072.807433,1.343457,0.06342,1.306178,0.023652,6.570052,25.322967,5.014611,13037,105643,47891,57752,73491,67104,43805,8707
47,Oviedo,Oviedo,8,0.815073,0.764665,0.737757,1.338482,0.705927,0.84315,0.643674,8462,0.996951,327.930774,29930.32486,Oviedo_class.shp,0.507020142,1.795108367,22.89803533,20.76770152,0.418780422,0.514738154,37.80021051,15.29840555,1.057826,1.254438,1.205068,0.265896,0.243552,1.35325,1.065915,0.538619,0.514612,981.507459,3.520464,0.11599,2.993032,0.032942,8.17277,37.143082,5.842881,14657,219910,101749,118161,133254,123730,97821,7283
48,Palencia,Palencia,8,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,6037,0.994065,168.496219,37072.35186,Palencia_class.shp,1.093943754,4.112275441,20.23707835,37.20466967,0.20911061,0.214805186,18.47343359,18.4546834,1.043739,1.245576,1.201339,0.295989,0.296904,0.661278,1.068949,0.549911,0.518849,624.655113,3.783919,0.103471,3.707235,0.021156,7.332732,55.588778,4.845938,13662,78144,36875,41269,51281,44610,32691,4745
49,Palma,Palma de Mallorca,8,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,35101,0.998327,597.711104,49300.97558,Palma_class.shp,0.927676765,6.242174717,16.01056755,13.67968868,3.027674339,0.815612142,26.73804607,32.55855973,1.027479,1.254301,1.214899,0.269904,0.262725,1.078541,1.06891,0.532558,0.529751,2946.774052,3.279668,0.083951,4.930098,0.028243,7.128906,37.14125,5.237095,12998,422587,206654,215933,360254,182244,159316,6521
50,"Palmas de Gran Canaria, Las","Palmas de Gran Canaria, Las",8,0.50741,0.687819,0.770551,1.472074,0.782022,0.880629,0.707918,37900,0.998696,766.602228,20566.54295,Las_Palmas_Gran_Canaria_class.shp,2.334813533,6.776839401,17.48749089,11.97842239,0.5785812,0.971454562,30.24429742,29.6281006,1.059347,1.226561,1.197519,0.367684,0.375381,1.080615,1.072834,0.523458,0.506516,1576.635765,2.406659,0.0416,2.056654,0.013085,4.793442,28.428436,3.592223,12509,381223,183905,197318,275061,182930,144987,8299
51,Parla,Parla,8,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,6540,0.95625,22.857169,277030.3385,Parla_clas.shp,2.334117454,5.324166237,19.0690841,32.24693509,0.377942902,1.990844833,24.28335942,14.37354996,1.043017,1.300935,1.28017,0.329106,0.336968,1.096462,1.092514,0.426996,0.608534,633.212934,19.994841,0.096822,27.703034,0.019997,6.856993,109.147215,5.466245,9803,133482,66524,66958,66997,47097,43712,576
52,Pontevedra,Pontevedra,8,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,7077,0.994338,176.62441,34239.64548,Pontevedra_class.shp,0.681221751,1.489442517,14.01950383,23.7660659,1.078373903,0.428354474,20.23446423,38.3025734,1.090859,1.296588,1.230306,0.284937,0.243004,1.086863,1.07469,0.521571,0.548893,604.755716,6.60961,0.085454,3.423965,0.035801,7.74214,38.137105,6.265001,13047,83260,39344,43916,59044,39568,30946,1726
53,Sabadell,Sabadell,8,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.71455,25177,0.998559,694.074811,15705.34551,Sabadell.shp,1.392173289,2.515662469,19.89253037,23.5695134,1.087194583,0.598761951,26.95004489,23.99411905,1.083084,1.415343,1.360043,0.415406,0.435982,1.133652,1.122543,-123991.3169,0.687683,1090.068472,2.090116,0.043296,1.570535,0.013927,5.171963,27.855174,4.082364,13520,216520,105388,111132,139550,93237,81596,1423
54,Salamanca,Salamanca,8,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,9409,0.995427,218.654554,40481.07659,Salamanca_class.shp,0.761127537,7.018541555,29.25256781,26.09774571,1.115083177,0.421178931,28.29401661,7.03973867,1.051635,1.257037,1.21058,0.312493,0.306654,1.082017,1.07135,0.549894,0.51992,885.137174,3.267961,0.094073,4.048108,0.020095,6.581246,46.490574,4.532603,13185,144825,65661,79164,79554,92491,64588,14907
55,San Cristóbal,San Cristóbal de La Laguna,8,0.556311,0.932454,0.69106,1.174608,0.681847,0.789783,0.564867,27223,0.999291,1411.271008,10189.7151,San_Cristobal_de_la_Laguna_class.shp,0.925674134,3.908889416,11.64032344,15.55077719,0.533987354,0.243181842,18.80216244,48.39500419,1.082293,1.253427,1.205466,0.331662,0.335698,1.082882,1.072537,0.531807,0.518625,1438.04495,0.814449,0.052825,1.018972,0.017127,6.116619,24.412439,4.596158,11481,158911,76703,82208,129699,71233,57555,4045
